source_post_id,post_url,post_description,post_created,likes_count,shares_count,views_count,comments_count
108426800413716000,https://tiktok.com/@patrizienta/video/108426800413716480,#makeup #spain #makeupandhair #followme #blonde #watermelon,2016-06-17,0,0,6277,0
108795592566304000,https://tiktok.com/@nailsartvideos/video/108795592566304768, üòç‚úå＀üèøÔ∏è＀üíÖ＀üèª #nails,2016-06-18,0,0,2819,0
128731658203242000,https://tiktok.com/@naomijon/video/128731658203242496,Soft Bordeaux Cut Crease ＀üíï #MakeupOfTheDay #Makeuptips #Makeup #MiniTutorial #featureme,2016-08-12,0,0,73713,0
128740870983618000,https://tiktok.com/@rayneydaes/video/128740870983618560,my makeup routine! #makeupoftheday #featureme #featurethis #makeup #tutorial,2016-08-12,0,0,261,0
148525928506277000,https://tiktok.com/@hookyhk/video/148525928506277888,#lipgloss #LilMama #lipstick #MyFavourites #Kiss #FeatureMe,2016-10-06,0,0,1336888,0
164950377426161000,https://tiktok.com/@kristenhancher/video/164950377426161664,Aha when you die trying to turn＀üòÇ @SHAEDband #SHAED #Perfume,2016-11-20,0,0,839461,0
171175313417101000,https://tiktok.com/@naomijon/video/171175313417101312,Redid the #EyeChallenge ＀üëÅ show me your eyes using the #EyeChallenge hashtag ＀üíô #makeup #eyes #oceaneyes,2016-12-07,0,0,19209,0
175041992530411000,https://tiktok.com/@nailsartvideos/video/175041992530411520,#christmasnails#nails ＀üíÖ＀üèª＀üíÖ＀üèª || Follow @nailvideotutorial ＀üí´,2016-12-18,0,0,34557,0
214926603762593000,https://tiktok.com/@rodrigeminiis/video/214926603762593792,#girls #makeup #makeuptutorial #makeuplover #blush #bbcream #Eyeliner #igermakeup #iger #venezuela #gochamakeup #makeupartist #makeupselfie,2017-04-07,0,0,614,0
216029828360208000,https://tiktok.com/@naomijon/video/216029828360208384,＀üíô＀üåô #BakeTheFace #makeup #makeuptutorial #motd #sailormoon #makeupoftheday,2017-04-10,0,0,758501,0
231907157955514000,https://tiktok.com/@phionakatz/video/231907157955514368,#makeup #lipstickjunkie #blogger,2017-05-24,0,0,88,0
235287137397559000,https://tiktok.com/@paigemackenzie/video/235287137397559297,#MakeupProblems #Makeup,2017-06-02,0,0,5704,0
239945665274089000,https://tiktok.com/@dhez_/video/239945665274089472,＀üéÄ #feautured #makeup #makeupoftheday #oceaneyes #myself #style,2017-06-15,0,0,18309,0
252322392277102000,https://tiktok.com/@bilintinamakeup/video/252322392277102592,How to hide wrinkles! #hudabeauty #makeup #tutorial #darkcircles #wrinkles #beauty #fillers #finelines #lips,2017-07-19,0,0,42258,0
252675812921954000,https://tiktok.com/@bilintinamakeup/video/252675812921954304,Thank you #lorealmakeup #loreal #makeup #beauty,2017-07-20,0,0,13041,0
253806587058851000,https://tiktok.com/@alannized/video/253806587058851840,Musical.ly saw it first ‚ù§Ô∏è #makeup #style #eyeshadow #eyebrows #lgbt,2017-07-24,0,0,107001,0
254279964546613000,https://tiktok.com/@bilintinamakeup/video/254279964546613248,Chest Mask ‚ú® #skincare #lipmask #chestmask #makeup #beauty,2017-07-25,0,0,748176,0
256784751892807000,https://tiktok.com/@bilintinamakeup/video/256784751892807681,BeautyCon Make Up Inspo ＀üíï#MyBeautyConLALook #MakeUp #Contour #MakeUpLook,2017-08-01,0,0,415187,0
258904644431798000,https://tiktok.com/@bilintinamakeup/video/258904644431798272,Quick Make up fix #makeup #hudabeauty #lips,2017-08-07,0,0,584033,0
1,https://tiktok.com/@bilintinamakeup/video/259308512592306176,Cream Contour ＀üíÅ＀üèª＀üé® #makeup #katvondbeauty #hudabeauty #contourlikekim,2017-08-08,0,0,117617,0
